City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Odweyne,SO,9.4092,45.064,79.57,41,39,19.17,scattered clouds
79,Lagoa,PT,39.05,-27.9833,69.6,83,92,12.3,overcast clouds
80,Henties Bay,NA,-22.116,14.2845,53.85,85,1,2.68,clear sky
81,Flinders,AU,-34.5833,150.8552,62.19,58,46,8.01,scattered clouds
82,Cape Town,ZA,-33.9258,18.4232,61.12,92,65,8.86,broken clouds
83,Slave Lake,CA,55.2834,-114.769,52.32,66,86,3.4,overcast clouds
84,Pomabamba,PE,-8.8333,-77.4667,46.38,89,73,3.53,broken clouds
85,Yakeshi,CN,49.2833,120.7333,65.55,67,100,14.38,light rain
86,Vaitape,PF,-16.5167,-151.75,79.92,70,1,6.55,clear sky
87,Fortuna,US,40.5982,-124.1573,59.41,69,90,0.0,overcast clouds
88,Atuona,PF,-9.8,-139.0333,78.21,75,50,18.92,scattered clouds
89,Carutapera,BR,-1.195,-46.02,76.64,89,65,7.45,broken clouds
90,Mahebourg,MU,-20.4081,57.7,76.24,71,17,16.98,few clouds
91,Thompson,CA,55.7435,-97.8558,39.76,94,49,3.13,scattered clouds
92,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.83,77,91,19.71,overcast clouds
93,Baghmara,IN,23.795,86.2085,89.87,60,73,9.44,broken clouds
94,Hermanus,ZA,-34.4187,19.2345,60.91,86,83,5.35,broken clouds
95,Senanga,ZM,-16.1167,23.2667,74.59,26,0,9.31,clear sky
96,Valparaiso,CL,-33.0393,-71.6273,55.47,69,4,11.12,clear sky
97,Qaanaaq,GL,77.484,-69.3632,16.79,69,53,8.05,broken clouds
98,Kabalo,CD,-6.05,26.9167,80.87,47,94,2.77,overcast clouds
99,Karratha,AU,-20.7377,116.8463,85.93,28,0,18.5,clear sky
100,Bethel,US,41.3712,-73.414,62.04,92,1,4.61,clear sky
101,Sechura,PE,-5.5569,-80.8222,64.6,83,99,11.3,overcast clouds
102,Deputatskiy,RU,69.3,139.9,29.86,87,100,21.5,overcast clouds
103,Filingue,NE,14.3521,3.3168,82.24,62,7,7.83,clear sky
104,Chumikan,RU,54.7183,135.315,58.32,59,79,6.17,broken clouds
105,Seybaplaya,MX,19.65,-90.6667,77.22,87,100,7.96,overcast clouds
106,Kongolo,CD,-5.3833,27.0,80.33,52,100,4.32,overcast clouds
107,Tautira,PF,-17.7333,-149.15,77.02,77,5,12.15,light rain
108,Redding,US,40.5865,-122.3917,70.72,49,32,3.38,scattered clouds
109,Oxford,GB,51.7522,-1.256,58.3,100,90,4.61,fog
110,Honiara,SB,-9.4333,159.95,82.2,83,70,3.83,broken clouds
111,Hazorasp,UZ,41.3194,61.0742,71.44,32,2,10.85,clear sky
112,Grindavik,IS,63.8424,-22.4338,41.47,81,75,31.07,light rain
113,Roma,US,43.2128,-75.4557,60.94,87,90,6.91,overcast clouds
114,Dikson,RU,73.5069,80.5464,36.03,86,100,19.64,overcast clouds
115,Calama,CL,-22.4667,-68.9333,56.41,9,0,9.4,clear sky
116,San Juan,AR,-31.5375,-68.5364,72.73,19,0,2.91,clear sky
117,Uppsala,SE,60.0,17.75,36.91,100,36,0.0,scattered clouds
118,Tiksi,RU,71.6872,128.8694,34.99,89,100,21.63,overcast clouds
119,Jalu,LY,29.0331,21.5482,70.47,43,2,8.12,clear sky
120,Nago,JP,26.5881,127.9761,89.46,73,21,10.42,few clouds
121,Georgiyevskoye,RU,58.731,45.024,45.66,87,97,7.23,overcast clouds
122,Tuktoyaktuk,CA,69.4541,-133.0374,33.69,97,100,14.94,light rain
123,Marsa Matruh,EG,31.3525,27.2453,74.03,61,0,8.34,clear sky
