City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Celestun,MX,2021-09-25 14:55:54,20.8667,-90.4,82.69,70,24,5.14
68,Lompoc,US,2021-09-25 14:54:50,34.6391,-120.4579,55.71,100,90,0.0
69,Sharlyk,RU,2021-09-25 14:55:54,52.9167,54.75,53.53,62,100,8.25
70,Butaritari,KI,2021-09-25 14:55:54,3.0707,172.7902,82.98,73,57,8.97
71,Barra Patuca,HN,2021-09-25 14:55:55,15.8,-84.2833,84.04,74,54,5.14
72,Areka,ET,2021-09-25 14:55:55,7.0667,37.7,60.55,93,99,3.96
73,Hobart,AU,2021-09-25 14:55:55,-42.8794,147.3294,42.26,78,40,1.01
74,Barrow,US,2021-09-25 14:53:23,71.2906,-156.7887,17.55,89,99,6.49
75,Koson,UZ,2021-09-25 14:55:55,39.0375,65.585,80.92,10,0,8.72
76,Lima,PE,2021-09-25 14:51:34,-12.0432,-77.0282,67.14,87,90,1.99
77,Vao,NC,2021-09-25 14:55:55,-22.6667,167.4833,67.71,62,4,9.93
78,Llanes,ES,2021-09-25 14:55:56,43.4198,-4.7549,76.86,75,88,10.13
79,Jamestown,US,2021-09-25 14:55:00,42.097,-79.2353,63.52,42,100,4.0
80,Bathsheba,BB,2021-09-25 14:55:56,13.2167,-59.5167,88.41,66,40,10.36
81,Lagos,NG,2021-09-25 14:50:59,6.5833,3.75,84.45,68,100,7.58
82,Rabak,SD,2021-09-25 14:55:56,13.1809,32.74,86.5,51,75,11.23
83,Altay,CN,2021-09-25 14:55:56,47.8667,88.1167,34.93,58,7,3.44
84,Ambunti,PG,2021-09-25 14:55:57,-4.2365,142.8448,74.64,96,65,2.46
85,Minden,DE,2021-09-25 14:55:57,52.2833,8.9167,73.35,68,100,5.75
86,Henties Bay,NA,2021-09-25 14:55:57,-22.116,14.2845,59.86,76,6,12.97
87,Dir,PK,2021-09-25 14:55:57,35.2058,71.8756,67.71,82,0,2.86
88,Grand-Santi,GF,2021-09-25 14:55:58,4.25,-54.3833,93.42,41,35,3.87
89,Vanimo,PG,2021-09-25 14:55:58,-2.6741,141.3028,78.87,88,59,5.35
90,Upernavik,GL,2021-09-25 14:55:58,72.7868,-56.1549,23.05,68,5,5.17
91,Tuktoyaktuk,CA,2021-09-25 14:55:58,69.4541,-133.0374,32.0,100,90,21.85
92,Pevek,RU,2021-09-25 14:55:58,69.7008,170.3133,30.22,98,100,14.65
93,Castro,BR,2021-09-25 14:55:21,-24.7911,-50.0119,77.36,46,9,0.58
94,Georgetown,MY,2021-09-25 14:53:15,5.4112,100.3354,82.33,83,40,5.01
95,Pringsewu,ID,2021-09-25 14:55:59,-5.3582,104.9744,74.93,94,27,2.73
96,Nazas,MX,2021-09-25 14:55:59,25.2333,-104.1333,75.11,48,66,1.66
97,Zinder,NE,2021-09-25 14:55:59,13.8072,8.9881,100.36,18,0,9.22
98,Avera,US,2021-09-25 14:56:00,33.194,-82.5271,72.91,50,87,3.49
99,Bassano,CA,2021-09-25 14:56:00,50.7834,-112.4685,65.95,46,7,6.51
100,Torbay,CA,2021-09-25 14:56:00,47.6666,-52.7314,57.27,72,75,4.61
101,Viedma,AR,2021-09-25 14:56:00,-40.8135,-62.9967,74.3,35,0,27.16
102,Khetia,IN,2021-09-25 14:56:00,21.6667,74.5833,78.04,88,100,9.66
103,Malayal,PH,2021-09-25 14:56:01,7.208,121.942,80.28,85,100,3.38
104,Saint-Joseph,RE,2021-09-25 14:56:01,-21.3667,55.6167,71.98,69,46,15.05
105,Port Lincoln,AU,2021-09-25 14:56:01,-34.7333,135.8667,51.51,67,39,14.61
